Reason1,Reason2,Reason3,Reason4,Day,Month,Year,Age,Body Mass Index,Education,Children,Pets,Distance to Work,Transportation Expense,Daily Work Load Average,Target
0,0,0,1,7,7,1,2,4,1,2,1,4,289,239.554,1
0,0,0,0,14,7,1,6,4,1,1,0,2,118,239.554,0
0,0,0,1,15,7,1,3,4,1,0,0,6,179,239.554,0
1,0,0,0,16,7,1,3,2,1,2,0,1,279,239.554,1
0,0,0,1,23,7,1,2,4,1,2,1,4,289,239.554,0
0,0,0,1,7,10,1,3,4,1,0,0,6,179,239.554,0
0,0,0,1,17,7,1,1,3,1,1,4,6,361,239.554,1
0,0,0,1,24,7,1,3,2,1,4,0,5,260,239.554,1
0,0,1,0,7,6,1,2,3,1,2,0,2,155,239.554,1
0,0,0,1,13,7,1,3,3,3,1,1,2,235,239.554,1
1,0,0,0,20,7,1,3,2,1,4,0,5,260,239.554,1
1,0,0,0,14,7,1,3,2,1,4,0,5,260,239.554,1
1,0,0,0,15,7,1,3,2,1,4,0,5,260,239.554,1
1,0,0,0,15,7,1,3,4,1,0,0,6,179,239.554,0
0,0,0,1,15,7,1,3,4,1,0,0,6,179,239.554,1
1,0,0,0,17,7,1,4,2,1,0,0,3,246,239.554,1
0,0,0,1,17,7,1,3,4,1,0,0,6,179,239.554,0
0,0,1,0,27,7,1,3,4,1,0,0,6,179,239.554,1
1,0,0,0,30,7,1,2,3,1,2,2,3,189,239.554,1
0,0,0,1,8,5,1,5,4,1,2,1,3,248,205.917,0
1,0,0,0,8,12,1,1,3,2,0,0,2,330,205.917,1
1,0,0,0,8,3,1,3,4,1,0,0,6,179,205.917,0
1,0,0,0,8,10,1,1,3,1,1,4,6,361,205.917,1
0,0,0,1,14,8,1,3,2,1,4,0,5,260,205.917,1
0,0,1,0,17,8,1,2,4,1,2,1,4,289,205.917,1
0,0,0,1,24,8,1,1,3,1,1,4,6,361,205.917,1
0,0,0,1,8,4,1,2,4,1,2,1,4,289,205.917,0
0,0,0,1,8,12,1,1,2,1,0,0,3,157,205.917,1
0,0,1,0,19,8,1,2,4,1,2,1,4,289,205.917,1
0,0,0,1,28,8,1,3,4,1,0,0,6,179,205.917,0
0,0,1,0,17,8,1,3,4,1,0,0,6,179,205.917,1
0,0,1,0,27,8,1,5,4,1,1,5,3,235,205.917,1
0,0,0,1,27,8,1,3,3,3,1,1,2,235,205.917,1
0,0,1,0,17,8,1,5,4,1,1,5,3,235,205.917,1
0,0,0,1,17,8,1,3,4,1,0,0,6,179,205.917,0
0,0,0,1,17,8,1,1,3,1,1,4,6,361,205.917,0
0,0,0,1,8,4,1,2,4,1,2,1,4,289,205.917,1
1,0,0,0,20,8,1,2,2,1,0,0,5,291,205.917,1
0,0,0,1,21,8,1,5,4,1,1,5,3,235,205.917,1
0,0,0,1,28,8,1,3,2,1,4,0,5,260,205.917,1
0,0,0,1,9,1,1,1,2,1,0,0,5,184,241.476,0
0,0,0,1,9,7,1,3,3,1,0,0,1,118,241.476,1
0,0,0,1,9,1,1,3,4,1,0,0,6,179,241.476,1
0,0,1,0,9,8,1,4,4,1,1,0,2,235,241.476,1
0,0,0,1,9,9,1,2,3,1,2,0,2,155,241.476,0
0,0,0,1,13,9,1,3,3,1,0,0,1,118,241.476,0
0,0,0,1,14,9,1,3,4,1,0,0,6,179,241.476,0
0,0,0,1,24,9,1,4,3,1,1,1,4,291,241.476,1
0,0,0,1,9,4,1,3,2,1,4,0,5,260,241.476,1
1,0,0,0,14,9,1,4,3,1,1,1,4,291,241.476,1
0,0,0,0,21,9,1,3,2,1,4,0,5,260,241.476,0
0,0,0,0,28,9,1,1,2,1,1,2,3,225,241.476,0
0,0,0,1,9,8,1,1,2,1,1,2,3,225,241.476,0
0,0,0,1,15,9,1,3,3,1,0,0,1,118,241.476,0
0,0,0,0,22,9,1,2,4,1,2,1,4,289,241.476,0
0,0,0,0,29,9,1,6,4,1,1,0,2,118,241.476,0
0,0,1,0,16,9,1,1,2,1,1,2,3,225,241.476,0
0,0,0,1,23,9,1,3,4,1,0,0,6,179,241.476,0
0,0,0,0,30,9,1,2,3,1,3,0,2,369,241.476,0
0,0,0,1,9,11,1,5,4,1,2,1,3,248,241.476,0
0,0,0,1,18,9,1,3,4,1,0,0,6,179,241.476,0
0,0,0,1,25,9,1,3,2,1,4,0,5,260,241.476,1
0,0,0,1,10,6,1,3,4,1,0,0,6,179,253.465,0
0,0,0,1,13,10,1,3,3,1,0,0,1,118,253.465,0
0,0,0,0,14,10,1,6,4,1,1,0,2,118,253.465,0
0,0,0,1,15,10,1,2,2,3,0,0,3,179,253.465,0
0,0,0,1,16,10,1,3,4,1,0,0,6,179,253.465,0
0,0,0,1,16,10,1,1,2,1,1,2,3,225,253.465,0
0,0,0,1,10,6,1,3,3,1,0,0,1,118,253.465,0
0,0,0,1,14,10,1,1,2,1,1,2,3,225,253.465,0
0,0,0,1,21,10,1,5,4,1,2,1,3,248,253.465,0
0,0,0,1,22,10,1,4,3,1,1,1,4,291,253.465,1
0,0,0,1,21,10,1,3,4,1,0,0,6,179,253.465,1
0,0,0,1,21,10,1,1,2,1,1,2,3,225,253.465,0
0,0,1,0,22,10,1,3,2,1,4,0,5,260,253.465,1
1,0,0,0,13,10,1,4,3,1,1,1,4,291,253.465,1
0,0,0,1,20,10,1,1,2,1,1,2,3,225,253.465,0
0,0,0,1,21,10,1,2,4,1,2,1,4,289,253.465,1
0,0,0,1,23,10,1,1,3,1,1,4,6,361,253.465,0
0,0,0,1,30,10,1,3,2,1,4,0,5,260,253.465,0
0,0,0,1,11,5,1,3,4,1,0,0,6,179,306.345,0
0,0,0,1,11,4,1,1,2,1,1,2,3,225,306.345,0
1,0,0,0,11,5,1,3,4,1,0,0,6,179,306.345,1
0,0,1,0,11,12,1,4,2,2,2,0,3,179,306.345,1
0,0,0,1,19,11,1,4,3,1,1,1,4,291,306.345,1
1,0,0,0,11,2,1,2,3,1,2,0,2,155,306.345,1
0,0,0,1,11,9,1,2,3,1,2,2,3,189,306.345,1
1,0,0,0,16,11,1,4,3,1,1,1,4,291,306.345,1
0,0,0,1,18,11,1,1,2,1,1,2,3,225,306.345,0
1,0,0,0,20,11,1,2,3,1,2,0,2,155,306.345,1
0,0,0,1,18,11,1,1,2,1,1,2,3,225,306.345,0
0,0,1,0,25,11,1,4,2,2,2,0,3,179,306.345,1
1,0,0,0,20,11,1,1,2,1,1,2,3,225,306.345,0
0,0,0,1,27,11,1,3,2,1,4,0,5,260,306.345,1
0,0,0,1,11,2,1,5,4,1,2,1,3,248,306.345,0
0,0,0,1,11,10,1,1,2,1,1,2,3,225,306.345,0
1,0,0,0,11,11,1,2,4,1,2,1,4,289,306.345,1
0,0,0,1,26,11,1,4,3,1,1,1,4,291,306.345,0
0,0,0,1,12,1,1,5,4,1,2,1,3,248,261.306,0
0,0,1,0,12,1,1,3,3,1,0,0,1,118,261.306,1
0,0,0,1,12,2,1,6,4,1,1,0,2,118,261.306,0
0,0,0,1,12,2,1,3,3,3,1,1,2,235,261.306,1
0,0,0,1,12,3,1,1,2,1,1,2,3,225,261.306,0
0,0,0,1,12,4,1,3,2,1,4,0,5,260,261.306,1
0,0,1,0,12,8,1,3,3,1,0,0,1,118,261.306,1
0,0,0,1,12,9,1,1,3,1,1,4,6,361,261.306,1
0,0,0,1,12,10,1,1,2,1,1,2,3,225,261.306,0
0,0,0,1,12,11,1,3,2,1,4,0,5,260,261.306,0
0,0,0,1,15,12,1,1,2,1,1,2,3,225,261.306,0
0,0,0,1,16,12,1,1,3,1,1,4,6,361,261.306,1
0,0,0,1,12,11,1,3,3,1,0,0,1,118,261.306,0
0,0,1,0,18,12,1,4,2,1,0,0,3,246,261.306,1
0,0,0,1,18,12,1,1,2,1,1,2,3,225,261.306,0
0,0,0,1,1,6,2,1,2,1,1,2,3,225,308.593,0
0,0,1,0,1,4,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,1,5,2,3,3,1,0,0,1,118,308.593,0
0,0,1,0,1,5,2,2,3,1,2,0,2,155,308.593,1
0,0,0,1,1,6,2,1,2,1,1,2,3,225,308.593,0
0,0,0,1,1,7,2,1,2,1,0,0,5,184,308.593,0
0,0,0,1,1,7,2,1,2,1,1,2,3,225,308.593,0
0,0,0,1,1,8,2,1,2,1,1,2,3,225,308.593,0
0,0,0,1,1,11,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,1,12,2,1,2,1,1,2,3,225,308.593,0
0,0,0,1,1,12,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,13,1,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,14,1,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,15,1,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,1,11,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,1,12,2,3,3,1,0,0,1,118,308.593,0
0,0,1,0,1,12,2,2,2,3,0,0,3,179,308.593,1
0,0,1,0,1,12,2,2,4,1,2,1,4,289,308.593,1
0,0,0,1,13,1,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,21,1,2,1,2,1,0,0,5,184,308.593,0
0,0,0,1,28,1,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,25,1,2,3,3,1,0,0,1,118,308.593,0
0,0,0,1,26,1,2,1,2,1,1,2,3,225,308.593,0
0,0,0,1,28,1,2,2,4,1,2,1,4,289,308.593,0
0,0,0,1,2,5,2,1,2,1,0,0,5,184,302.585,0
1,0,0,0,2,3,2,4,2,1,0,0,3,246,302.585,1
1,0,0,0,2,10,2,3,4,1,0,0,6,179,302.585,1
0,0,0,1,2,11,2,2,3,1,2,0,2,155,302.585,0
0,0,0,1,2,11,2,2,3,1,2,2,3,189,302.585,1
0,0,0,1,2,12,2,3,2,1,4,0,5,260,302.585,0
0,0,0,1,2,12,2,2,4,1,2,1,4,289,302.585,1
1,0,0,0,2,8,2,6,2,1,0,0,2,388,302.585,1
1,0,0,0,2,9,2,6,2,1,0,0,2,388,302.585,1
0,0,0,1,15,2,2,1,2,1,1,2,3,225,302.585,0
0,0,0,1,2,9,2,1,2,1,1,2,3,225,302.585,0
0,0,0,1,16,2,2,2,2,3,0,0,3,179,302.585,0
0,0,0,1,23,2,2,1,2,1,0,0,5,184,302.585,1
0,0,0,1,25,2,2,1,2,1,1,2,3,225,302.585,0
0,0,1,0,15,2,2,1,3,2,0,0,2,330,302.585,1
0,0,0,1,16,2,2,1,3,2,0,0,2,330,302.585,0
0,0,0,1,17,2,2,1,2,1,1,2,3,225,302.585,0
0,0,1,0,25,2,2,2,3,1,2,2,3,189,302.585,1
0,0,0,1,3,1,2,2,2,1,0,0,5,291,343.253,0
0,0,1,0,3,1,2,3,2,1,4,0,5,260,343.253,1
0,0,1,0,3,8,2,1,2,1,0,0,3,157,343.253,0
0,1,0,0,15,3,2,4,2,2,2,0,3,179,343.253,1
0,0,0,1,16,3,2,4,3,1,1,1,4,291,343.253,1
1,0,0,0,3,2,2,3,2,1,4,0,5,260,343.253,1
1,0,0,0,3,3,2,2,2,3,0,0,3,179,343.253,1
1,0,0,0,3,4,2,5,4,1,2,1,3,248,343.253,0
1,0,0,0,3,4,2,3,2,1,4,0,5,260,343.253,1
1,0,0,0,3,7,2,4,2,2,2,0,3,179,343.253,1
1,0,0,0,14,3,2,2,3,1,2,0,2,155,343.253,1
0,0,0,1,21,3,2,3,2,1,4,0,5,260,343.253,1
1,0,0,0,22,3,2,2,3,1,2,0,2,155,343.253,1
1,0,0,0,24,3,2,2,4,1,2,1,4,289,343.253,1
1,0,0,0,24,3,2,4,2,2,2,0,3,179,343.253,1
0,0,0,1,25,3,2,3,2,1,4,0,5,260,343.253,1
0,0,0,1,25,3,2,1,2,1,1,2,3,225,343.253,0
1,0,0,0,28,3,2,3,2,1,2,0,1,279,343.253,1
1,0,0,0,29,3,2,3,4,1,0,0,6,179,343.253,1
0,0,0,1,30,3,2,1,2,1,1,2,3,225,343.253,0
1,0,0,0,28,3,2,1,2,1,1,2,3,225,343.253,1
1,0,0,0,28,3,2,2,2,3,0,0,3,179,343.253,0
1,0,0,0,29,3,2,1,2,1,1,2,3,225,343.253,1
1,0,0,0,30,3,2,1,2,1,1,2,3,225,343.253,1
1,0,0,0,30,3,2,3,4,1,0,0,6,179,343.253,0
1,0,0,0,17,3,2,3,2,1,2,0,1,279,343.253,1
0,0,0,1,18,3,2,1,2,1,1,2,3,225,343.253,0
1,0,0,0,25,3,2,5,4,1,2,1,3,248,343.253,0
0,0,0,1,28,3,2,1,2,1,1,2,3,225,343.253,0
0,0,0,1,4,6,2,4,3,1,1,1,4,291,326.452,0
0,0,0,1,13,4,2,1,2,1,1,2,3,225,326.452,0
0,0,0,1,4,12,2,2,3,1,2,0,2,155,326.452,0
1,0,0,0,13,4,2,4,2,1,0,0,3,246,326.452,1
0,0,0,1,14,4,2,2,3,1,2,0,2,155,326.452,0
0,0,0,1,15,4,2,1,2,1,1,2,3,225,326.452,0
0,0,0,1,15,4,2,3,2,1,4,0,5,260,326.452,1
1,0,0,0,4,6,2,3,4,1,0,0,6,179,326.452,1
0,0,0,1,4,7,2,6,4,1,1,0,2,118,326.452,0
0,0,0,1,4,8,2,4,3,1,1,1,4,291,326.452,0
1,0,0,0,4,8,2,4,2,1,0,0,3,246,326.452,1
0,0,0,1,22,4,2,4,3,1,1,1,4,291,326.452,0
0,0,0,1,29,4,2,5,4,1,2,1,3,248,326.452,1
0,0,1,0,29,4,2,3,2,1,4,0,5,260,326.452,1
0,0,1,0,26,4,2,2,4,1,2,1,4,289,326.452,1
1,0,0,0,27,4,2,2,3,1,2,0,2,155,326.452,1
0,0,1,0,27,4,2,3,2,1,2,4,5,378,326.452,1
1,0,0,0,28,4,2,2,4,1,2,1,4,289,326.452,1
1,0,0,0,4,8,2,3,3,3,1,1,2,235,326.452,0
0,0,0,0,4,4,2,5,4,1,1,5,3,235,326.452,0
1,0,0,0,5,4,2,2,4,1,2,1,4,289,378.884,1
0,0,0,1,5,5,2,2,3,1,2,0,2,155,378.884,0
0,0,0,1,5,2,2,2,3,1,2,0,2,155,378.884,0
0,0,1,0,5,3,2,3,4,1,0,0,6,179,378.884,1
0,0,1,0,5,3,2,1,2,1,1,2,3,225,378.884,1
1,0,0,0,5,11,2,1,2,1,0,0,5,184,378.884,1
0,0,0,1,5,9,2,2,3,1,2,0,2,155,378.884,0
1,0,0,0,5,10,2,3,4,1,0,0,6,179,378.884,0
1,0,0,0,5,4,2,2,4,1,2,1,4,289,378.884,1
0,0,0,0,5,11,2,3,2,1,2,0,1,279,378.884,0
0,0,0,0,18,5,2,1,3,2,0,0,2,330,378.884,0
0,0,0,0,25,5,2,3,2,1,2,4,5,378,378.884,0
0,0,0,0,25,5,2,6,2,1,0,0,2,388,378.884,0
1,0,0,0,24,5,2,3,4,1,0,0,6,179,378.884,0
1,0,0,0,5,11,2,6,4,1,1,0,2,118,378.884,1
0,0,0,1,27,5,2,1,3,1,1,4,6,361,378.884,1
0,0,1,0,6,6,2,4,2,1,0,0,3,246,377.55,1
0,0,0,1,13,6,2,1,3,1,1,4,6,361,377.55,1
1,0,0,0,14,6,2,4,2,1,0,0,3,246,377.55,1
0,0,0,1,16,6,2,4,3,1,1,1,4,291,377.55,1
1,0,0,0,17,6,2,4,2,1,0,0,3,246,377.55,1
1,0,0,0,13,6,2,3,4,1,0,0,6,179,377.55,1
0,0,0,1,20,6,2,2,3,1,2,0,2,155,377.55,1
1,0,0,0,27,6,2,4,2,1,0,0,3,246,377.55,1
1,0,0,0,29,6,2,6,4,1,1,0,2,118,377.55,1
1,0,0,0,6,3,2,3,3,3,1,1,2,235,377.55,1
0,0,0,1,6,7,2,6,4,1,1,0,2,118,377.55,0
1,0,0,0,6,8,2,6,4,1,1,0,2,118,377.55,1
0,0,0,1,6,9,2,3,2,1,2,4,5,378,377.55,1
1,0,0,0,6,10,2,3,4,1,0,0,6,179,377.55,0
0,0,0,1,20,6,2,5,4,1,0,2,5,289,377.55,0
0,0,0,1,30,6,2,1,2,1,1,2,3,225,377.55,0
0,0,1,0,7,5,2,2,3,1,2,0,2,155,275.312,1
1,0,0,0,7,6,2,6,4,1,1,0,2,118,275.312,1
1,0,0,0,7,8,2,3,3,1,0,0,1,118,275.312,1
0,0,0,1,7,8,2,3,3,1,0,0,1,118,275.312,1
0,0,0,1,7,12,2,1,3,2,0,0,2,330,275.312,1
0,0,1,0,14,7,2,2,2,3,0,0,3,179,275.312,1
0,0,0,1,15,7,2,2,3,1,2,0,2,155,275.312,0
1,0,0,0,18,7,2,1,3,2,0,0,2,330,275.312,1
1,0,0,0,19,7,2,1,3,2,0,0,2,330,275.312,1
0,0,0,1,18,7,2,1,2,1,0,0,3,157,275.312,0
0,0,0,1,19,7,2,1,3,1,1,4,6,361,275.312,1
0,0,0,1,20,7,2,2,4,1,2,1,4,289,275.312,1
0,0,0,1,21,7,2,3,4,1,0,0,6,179,275.312,1
0,0,1,0,7,11,2,2,4,1,2,1,4,289,275.312,1
0,0,1,0,14,7,2,2,4,1,2,1,4,289,275.312,1
0,0,0,0,21,7,2,3,2,1,4,0,5,260,275.312,0
0,0,1,0,8,4,2,2,4,1,2,1,4,289,265.615,1
0,0,1,0,8,11,2,1,2,1,0,0,3,157,265.615,0
0,0,0,1,8,7,2,2,4,1,2,1,4,289,265.615,0
0,0,1,0,8,8,2,6,2,1,2,1,2,228,265.615,1
1,0,0,0,8,10,2,4,3,1,2,1,3,300,265.615,0
1,0,0,0,8,10,2,4,3,1,2,1,3,300,265.615,0
0,0,0,1,8,11,2,3,2,1,4,0,5,260,265.615,1
0,0,0,1,8,8,2,2,4,1,2,1,4,289,265.615,1
0,0,0,1,8,9,2,5,4,1,2,1,3,248,265.615,0
1,0,0,0,8,10,2,2,3,2,0,0,2,268,265.615,1
0,0,0,1,8,10,2,2,2,3,0,0,3,179,265.615,0
1,0,0,0,8,10,2,6,4,1,1,0,2,118,265.615,0
0,0,0,1,14,8,2,5,4,1,2,1,3,248,265.615,0
0,0,0,1,15,8,2,3,3,3,1,1,2,235,265.615,0
0,0,0,1,17,8,2,6,4,1,1,0,2,118,265.615,0
0,0,1,0,24,8,2,3,3,3,1,1,2,235,265.615,1
1,0,0,0,8,8,2,1,3,1,1,4,6,361,265.615,1
1,0,0,0,30,8,2,1,2,1,0,0,5,184,265.615,1
1,0,0,0,9,5,2,3,4,1,0,0,6,179,294.217,1
0,0,0,1,9,9,2,3,4,1,0,0,6,179,294.217,0
0,0,1,0,9,7,2,2,4,1,2,1,4,289,294.217,1
0,0,0,0,9,8,2,4,4,1,1,0,2,235,294.217,0
1,0,0,0,9,12,2,4,2,1,0,0,3,246,294.217,1
0,0,0,1,13,9,2,4,3,1,1,1,4,291,294.217,0
0,0,0,0,13,9,2,3,4,1,2,2,4,231,294.217,0
0,0,0,0,13,9,2,2,2,1,0,0,5,291,294.217,0
1,0,0,0,14,9,2,3,4,1,0,0,6,179,294.217,1
1,0,0,0,14,9,2,4,2,1,0,0,3,246,294.217,1
0,0,0,1,15,9,2,3,4,1,0,0,6,179,294.217,0
0,0,0,1,16,9,2,4,3,1,1,1,4,291,294.217,1
0,0,0,1,16,9,2,3,2,1,4,0,5,260,294.217,1
0,0,0,1,14,9,2,4,4,1,1,0,2,235,294.217,1
0,0,0,1,15,9,2,6,4,1,1,0,2,118,294.217,0
0,0,0,0,15,9,2,4,4,1,1,0,2,235,294.217,0
0,0,0,1,16,9,2,4,3,1,1,1,4,291,294.217,0
1,0,0,0,26,9,2,4,3,1,1,1,4,291,294.217,1
1,0,0,0,26,9,2,3,4,1,0,0,6,179,294.217,1
0,0,0,1,10,5,2,2,4,1,2,1,4,289,265.017,1
0,0,0,1,10,5,2,3,3,3,1,1,2,235,265.017,1
0,0,0,1,10,5,2,2,4,1,2,1,4,289,265.017,1
0,0,0,1,10,6,2,2,4,1,2,1,4,289,265.017,1
0,0,0,0,10,6,2,6,4,1,1,0,2,118,265.017,0
0,0,0,0,10,6,2,5,4,1,2,1,3,248,265.017,0
1,0,0,0,10,12,2,2,2,3,0,0,3,179,265.017,1
1,0,0,0,10,12,2,3,3,1,0,0,1,118,265.017,0
0,0,0,1,10,12,2,2,3,1,3,0,2,369,265.017,1
0,0,0,1,14,10,2,3,4,1,0,0,6,179,265.017,0
1,0,0,0,14,10,2,2,2,3,0,0,3,179,265.017,1
0,0,0,0,14,10,2,4,4,1,1,0,2,235,265.017,0
0,0,1,0,15,10,2,2,4,1,2,1,4,289,265.017,1
0,0,0,1,16,10,2,3,2,1,4,0,5,260,265.017,0
0,0,0,0,16,10,2,4,4,1,1,0,2,235,265.017,0
0,0,0,1,19,10,2,4,4,1,1,0,2,235,265.017,0
0,0,0,1,19,10,2,4,4,1,1,0,2,235,265.017,0
0,0,0,1,20,10,2,6,4,1,1,0,2,118,265.017,0
0,0,0,1,20,10,2,4,3,1,1,1,4,291,265.017,1
0,0,0,1,22,10,2,2,2,3,0,0,3,179,265.017,1
0,0,0,1,22,10,2,6,4,1,1,0,2,118,265.017,0
1,0,0,0,26,10,2,1,3,1,1,4,6,361,265.017,1
0,0,0,0,27,10,2,3,2,1,4,0,5,260,265.017,0
0,0,0,0,27,10,2,4,3,1,1,1,4,291,265.017,0
0,0,0,0,27,10,2,1,2,1,0,0,3,157,265.017,0
1,0,0,0,28,10,2,2,2,3,0,0,3,179,265.017,1
1,0,0,0,28,10,2,2,2,3,0,0,3,179,265.017,1
0,0,0,1,29,10,2,6,4,1,1,0,2,118,265.017,0
1,0,0,0,11,7,2,3,3,1,0,0,1,118,284.031,1
0,0,0,1,11,7,2,5,4,1,2,1,3,248,284.031,0
1,0,0,0,11,8,2,3,4,1,0,0,6,179,284.031,1
0,0,0,1,11,11,2,3,2,1,4,0,5,260,284.031,0
0,0,0,1,14,11,2,4,3,1,1,1,4,291,284.031,0
1,0,0,0,14,11,2,3,2,1,2,4,5,378,284.031,1
1,0,0,0,14,11,2,2,3,1,2,0,2,155,284.031,1
0,0,0,1,14,11,2,4,4,1,1,0,2,235,284.031,1
0,0,0,0,15,11,2,1,3,2,0,0,2,330,284.031,0
0,0,1,0,16,11,2,3,3,3,1,1,2,235,284.031,0
1,0,0,0,16,11,2,3,3,1,0,0,1,118,284.031,0
0,0,0,1,17,11,2,3,3,3,1,1,2,235,284.031,0
0,0,0,1,17,11,2,3,4,1,0,0,6,179,284.031,0
1,0,0,0,18,11,2,4,2,1,0,0,3,246,284.031,1
1,0,0,0,18,11,2,4,3,1,1,1,4,291,284.031,1
1,0,0,0,21,11,2,4,2,1,0,0,3,246,284.031,1
0,0,0,1,22,11,2,3,4,1,0,0,6,179,284.031,0
1,0,0,0,23,11,2,3,2,1,4,0,5,260,284.031,1
0,1,0,0,25,11,2,3,2,1,4,0,5,260,284.031,1
0,0,0,0,25,11,2,3,2,1,2,4,5,378,284.031,0
0,0,0,0,29,11,2,3,2,1,2,0,1,279,284.031,0
0,0,0,1,24,11,2,3,4,1,0,0,6,179,284.031,0
1,0,0,0,12,5,2,1,2,1,1,2,3,225,236.629,0
0,0,0,1,12,5,2,3,4,1,0,0,6,179,236.629,0
0,0,0,1,12,5,2,3,4,1,0,0,6,179,236.629,0
0,0,0,1,12,5,2,3,3,3,1,1,2,235,236.629,0
0,0,0,1,12,6,2,6,4,1,1,0,2,118,236.629,0
0,0,0,1,12,9,2,3,2,1,4,0,5,260,236.629,1
1,0,0,0,15,12,2,4,2,1,0,0,3,246,236.629,1
0,0,0,1,15,12,2,3,4,1,0,0,6,179,236.629,0
